Unnamed: 0	query-id	corpus-id	score
243	34	5	1.0
226	32	2	1.0
163	23	2	1.0
264	37	5	1.0
107	15	2	1.23
201	28	5	1.23
257	36	5	1.23
38	5	3	0.2
251	35	6	1.0
27	3	6	1.0
117	16	5	1.0
266	38	0	3.0
152	21	5	1.23
147	21	0	1.0
7	1	0	1.0
149	21	2	1.0
122	17	3	1.0
143	20	3	2.0
93	13	2	1.0
270	38	4	1.0
232	33	1	1.0
82	11	5	1.0
29	4	1	1.0
21	3	0	1.0
13	1	6	1.0
52	7	3	1.0
247	35	2	1.0
98	14	0	1.0
254	36	2	1.0
16	2	2	1.0
166	23	5	1.0
172	24	4	1.0
185	26	3	0.1
18	2	4	1.0
110	15	5	1.0
14	2	0	1.0
141	20	1	1.0
79	11	2	1.0
194	27	5	1.0
36	5	1	1.0
94	13	3	1.0
126	18	0	1.0
39	5	4	1.0
184	26	2	1.0
92	13	1	1.0
171	24	3	1.0
119	17	0	1.0
252	36	0	1.0
4	0	4	1.0
175	25	0	1.0
47	6	5	1.0
61	8	5	1.0
43	6	1	1.0
54	7	5	1.0
134	19	1	1.0
40	5	5	1.0
272	38	6	3.0
86	12	2	1.0
5	0	5	1.0
173	24	5	1.23
193	27	4	1.0
162	23	1	1.0
160	22	6	1.0
57	8	1	1.0
187	26	5	1.0
114	16	2	1.0
145	20	5	1.0
240	34	2	1.0
227	32	3	1.0
59	8	3	3.0
101	14	3	1.0
231	33	0	1.0
20	2	6	1.0
241	34	3	1.0
19	2	5	1.0
138	19	5	1.0
239	34	1	1.0
242	34	4	1.0
87	12	3	1.0
250	35	5	1.0
35	5	0	1.0
150	21	3	2.0
236	33	5	1.23
51	7	2	1.0
30	4	2	1.0
2	0	2	1.0
271	38	5	1.0
64	9	1	1.0
80	11	3	0.1
154	22	0	1.0
37	5	2	1.0
225	32	1	1.0
170	24	2	1.23
168	24	0	1.0
124	17	5	1.0
131	18	5	1.23
258	36	6	1.23
33	4	5	1.23
96	13	5	1.0
212	30	2	1.0
